,building,Total_area
1,apartments,47722.346
2,church,346.61
3,commercial,3190.411
4,garage,687
5,garages,3418.427
6,hotel,697.174
7,house,2917.605
8,hut,157.431
9,industrial,35183.471
10,mall,5145.246
11,mosque,805.628
12,office,16990.683
13,residential,6116.069
14,retail,15885.551
15,roof,2973.98
16,ruins,325.641
17,school,634.419
18,service,3733.614
19,shed,489.764
20,terrace,473.47
21,warehouse,736.253
22,Nonclassified (yes),97292.204
